code,term
408041006,Product containing ezetimibe
408060004,Product containing precisely ezetimibe 10 milligram/1 each conventional release oral tablet
414175005,Product containing ezetimibe and simvastatin
414176006,Product containing precisely ezetimibe 10 milligram and simvastatin 10 milligram/1 each conventional release oral tablet
414177002,Product containing precisely ezetimibe 10 milligram and simvastatin 20 milligram/1 each conventional release oral tablet
414178007,Product containing precisely ezetimibe 10 milligram and simvastatin 40 milligram/1 each conventional release oral tablet
414179004,Product containing precisely ezetimibe 10 milligram and simvastatin 80 milligram/1 each conventional release oral tablet
763586000,Product containing evolocumab
764347005,Product containing evolocumab in parenteral dose form
767981001,Product containing ezetimibe in oral dose form
767988007,Product containing ezetimibe and simvastatin in oral dose form
775910007,Product containing only evolocumab
775914003,Product containing only ezetimibe
775915002,Product containing only ezetimibe and simvastatin
779226005,Product containing only evolocumab in parenteral dose form
779229003,Product containing only ezetimibe and simvastatin in oral dose form
779230008,Product containing only ezetimibe in oral dose form
781355008,Product containing alirocumab
781356009,Product containing only alirocumab
781358005,Product containing alirocumab in parenteral dose form
781359002,Product containing only alirocumab in parenteral dose form
870614003,Product containing precisely bempedoic acid 180 milligram and ezetimibe 10 milligram/1 each conventional release oral tablet
870615002,Product containing bempedoic acid and ezetimibe
870616001,Product containing only bempedoic acid and ezetimibe
870617005,Product containing bempedoic acid and ezetimibe in oral dose form
870618000,Product containing only bempedoic acid and ezetimibe in oral dose form
